<INSTANCE_NAME>	R101n25c57
<NUMBER_OF_NODES>	26
<NUMBER_OF_COMMODITIES>	57
<VEHICLE_CAPACITY>	115
<NUMBER_OF_VEHICLES>	4
<VERTICES> NODE - XCOORD - YCOORD - DEMAND </VERTICES>
0	35	35	0
1	41	49	10
2	35	17	7
3	55	45	13
4	55	20	19
5	15	30	26
6	25	30	3
7	20	50	5
8	10	43	9
9	55	60	16
10	30	60	16
11	20	65	12
12	50	35	19
13	30	25	23
14	15	10	20
15	30	5	8
16	10	20	19
17	5	30	2
18	20	40	12
19	15	60	17
20	45	65	9
21	45	20	11
22	45	10	18
23	55	5	29
24	65	35	3
25	65	20	6
<COMMODITIES> NODE - DEMAND    - MIN_TEMP - MAX_TEMP </COMMODITIES>
1	5	13	16
1	5	0	1
2	3	13	16
2	4	0	2
3	6	13	16
3	7	5	10
4	8	10	13
4	11	0	4
5	15	5	10
5	11	0	1
6	2	4	7
6	1	0	1
7	1	5	10
7	2	3	7
7	2	10	13
8	3	10	13
8	3	11	13
8	3	0	4
9	6	0	2
9	10	3	6
10	6	0	4
10	6	0	2
10	4	3	7
11	8	5	10
11	4	13	16
12	8	0	1
12	11	0	2
13	10	10	13
13	8	3	7
13	5	5	10
14	11	3	6
14	9	7	10
15	5	0	2
15	3	7	10
16	9	0	1
16	10	7	10
17	2	4	7
18	4	10	13
18	2	5	10
18	6	3	7
19	5	11	13
19	12	0	2
20	4	11	13
20	5	4	7
21	4	13	16
21	3	7	10
21	4	5	10
22	4	3	7
22	8	13	16
22	6	0	2
23	15	11	13
23	14	4	7
24	1	13	16
24	2	4	7
25	2	4	7
25	1	3	7
25	3	13	16
