<INSTANCE_NAME>	C101n15c15
<NUMBER_OF_NODES>	16
<NUMBER_OF_COMMODITIES>	15
<VEHICLE_CAPACITY>	100
<NUMBER_OF_VEHICLES>	4
<VERTICES> NODE - XCOORD - YCOORD - DEMAND </VERTICES>
0	40	50	0
1	45	68	10
2	45	70	30
3	42	66	10
4	42	68	10
5	42	65	10
6	40	69	20
7	40	66	20
8	38	68	20
9	38	70	10
10	35	66	10
11	35	69	10
12	25	85	20
13	22	75	30
14	22	85	10
15	20	80	40
<COMMODITIES> NODE - DEMAND    - MIN_TEMP - MAX_TEMP </COMMODITIES>
1	10	0	1
2	30	13	16
3	10	11	13
4	10	7	10
5	10	0	1
6	20	3	7
7	20	7	10
8	20	3	6
9	10	0	1
10	10	11	13
11	10	7	10
12	20	13	16
13	30	13	16
14	10	3	6
15	40	3	6
