<INSTANCE_NAME>	RC101n15c15
<NUMBER_OF_NODES>	16
<NUMBER_OF_COMMODITIES>	15
<VEHICLE_CAPACITY>	120
<NUMBER_OF_VEHICLES>	4
<VERTICES> NODE - XCOORD - YCOORD - DEMAND </VERTICES>
0	40	50	0
1	25	85	20
2	22	75	30
3	22	85	10
4	20	80	40
5	20	85	20
6	18	75	20
7	15	75	20
8	15	80	10
9	10	35	20
10	10	40	30
11	8	40	40
12	8	45	20
13	5	35	10
14	5	45	10
15	2	40	20
<COMMODITIES> NODE - DEMAND    - MIN_TEMP - MAX_TEMP </COMMODITIES>
1	20	7	10
2	30	11	13
3	10	3	6
4	40	7	10
5	20	13	16
6	20	7	10
7	20	0	4
8	10	4	7
9	20	11	13
10	30	4	7
11	40	3	7
12	20	3	6
13	10	13	16
14	10	3	7
15	20	0	1
