<INSTANCE_NAME>	RC101n40c100
<NUMBER_OF_NODES>	41
<NUMBER_OF_COMMODITIES>	100
<VEHICLE_CAPACITY>	286
<NUMBER_OF_VEHICLES>	4
<VERTICES> NODE - XCOORD - YCOORD - DEMAND </VERTICES>
0	40	50	0
1	25	85	20
2	22	75	30
3	22	85	10
4	20	80	40
5	20	85	20
6	18	75	20
7	15	75	20
8	15	80	10
9	10	35	20
10	10	40	30
11	8	40	40
12	8	45	20
13	5	35	10
14	5	45	10
15	2	40	20
16	0	40	20
17	0	45	20
18	44	5	20
19	42	10	40
20	42	15	10
21	40	5	10
22	40	15	40
23	38	5	30
24	38	15	10
25	35	5	20
26	95	30	30
27	95	35	20
28	92	30	10
29	90	35	10
30	88	30	10
31	88	35	20
32	87	30	10
33	85	25	10
34	85	35	30
35	67	85	20
36	65	85	40
37	65	82	10
38	62	80	30
39	60	80	10
40	60	85	30
<COMMODITIES> NODE - DEMAND    - MIN_TEMP - MAX_TEMP </COMMODITIES>
1	1	0	1
1	9	5	10
1	10	3	6
2	18	5	10
2	12	3	6
3	3	4	7
3	1	10	13
3	6	7	10
4	18	5	10
4	12	11	13
4	10	0	1
5	12	4	7
5	8	0	1
6	7	11	13
6	13	10	13
7	11	13	16
7	9	4	7
8	6	13	16
8	4	0	1
9	8	13	16
9	6	0	4
9	6	7	10
10	18	10	13
10	12	0	2
11	11	7	10
11	20	10	13
11	9	0	1
12	8	5	10
12	12	3	6
13	2	0	4
13	5	5	10
13	3	7	10
14	3	0	1
14	7	0	4
15	7	0	4
15	13	0	2
16	5	3	7
16	9	10	13
16	6	7	10
17	6	10	13
17	10	3	7
17	4	4	7
18	9	4	7
18	11	0	2
19	27	0	2
19	13	5	10
20	3	0	1
20	7	3	7
21	6	7	10
21	4	0	1
22	18	10	13
22	22	13	16
23	7	10	13
23	9	4	7
23	14	0	2
24	3	11	13
24	2	10	13
24	5	0	4
25	7	10	13
25	6	5	10
25	7	13	16
26	7	5	10
26	14	13	16
26	9	10	13
27	11	5	10
27	9	7	10
28	2	0	1
28	4	3	7
28	4	7	10
29	6	10	13
29	3	5	10
29	1	11	13
30	3	10	13
30	2	5	10
30	5	4	7
31	9	0	1
31	11	3	7
32	1	5	10
32	5	13	16
32	4	10	13
33	5	0	1
33	5	3	7
34	15	0	2
34	15	7	10
35	9	0	1
35	2	0	4
35	9	7	10
36	15	11	13
36	25	13	16
37	3	0	1
37	4	3	7
37	3	0	2
38	13	3	6
38	9	5	10
38	8	7	10
39	8	0	4
39	2	5	10
40	9	0	4
40	11	5	10
40	10	3	6
