<INSTANCE_NAME>	R101n20c43
<NUMBER_OF_NODES>	21
<NUMBER_OF_COMMODITIES>	43
<VEHICLE_CAPACITY>	86
<NUMBER_OF_VEHICLES>	4
<VERTICES> NODE - XCOORD - YCOORD - DEMAND </VERTICES>
0	35	35	0
1	41	49	10
2	35	17	7
3	55	45	13
4	55	20	19
5	15	30	26
6	25	30	3
7	20	50	5
8	10	43	9
9	55	60	16
10	30	60	16
11	20	65	12
12	50	35	19
13	30	25	23
14	15	10	20
15	30	5	8
16	10	20	19
17	5	30	2
18	20	40	12
19	15	60	17
20	45	65	9
<COMMODITIES> NODE - DEMAND    - MIN_TEMP - MAX_TEMP </COMMODITIES>
1	4	0	2
1	2	3	6
1	4	13	16
2	2	7	10
2	1	3	6
2	4	0	1
3	6	5	10
3	7	0	2
4	9	3	7
4	10	0	1
5	13	4	7
5	13	0	2
6	1	5	10
6	2	0	2
7	2	3	7
7	3	4	7
8	2	11	13
8	7	0	1
9	9	0	4
9	7	13	16
10	8	13	16
10	5	0	2
10	3	4	7
11	4	0	4
11	8	10	13
12	9	4	7
12	10	3	6
13	12	13	16
13	11	0	1
14	10	5	10
14	10	7	10
15	6	10	13
15	2	0	4
16	9	3	7
16	10	11	13
17	2	3	6
18	8	3	7
18	4	3	6
19	3	3	7
19	6	13	16
19	8	3	6
20	3	13	16
20	6	4	7
